fragments_h,fragments,count,frequency,MW,CLogP,HBA,HBD,heavy,database,legend
CC1=CC(=O)CC(C)(C)[C@]1(C)O,*C[C@@]1(O)C(C)=CC(=O)CC1(C)C,1,0.0256016385048643,168.115029752,1.6827,2,1,12,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C[CH]C,*C[C](*)C,1,0.0256016385048643,43.054775224,1.23049,0,0,3,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C[CH]/C=C/[C@@]1(O)C(C)=CC(=O)CC1(C)C,*[C](C)/C=C/[C@@]1(O)C(C)=CC(=O)CC1(C)C,1,0.0256016385048643,207.138504848,2.4431900000000004,2,1,15,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC1(C)O[C@@]23[C@](C)C[C@](O)[CH][C@@]2(C)[CH]C[C]1[C@@]3O,*C[C@]12[C@](*)C[C]3[C@@](O*)[C@]1(OC3(C)C)[C@](C)C[C@](O)[C@]2*,1,0.0256016385048643,248.1412445,2.734140000000001,3,2,18,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC1(C)O[C@]23[CH][C]1C[CH][C@]2(C)[C@](O)[C@](O)C[C@]3C,*C[C@]12[C@](*)C[C]3[C@@](*)[C@]1(OC3(C)C)[C@](C)C[C@](O)[C@]2O*,1,0.0256016385048643,248.1412445,2.734140000000001,3,2,18,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC1(C)O[C@]23[CH][C]1C[CH][C@]2(CO)[CH][C@](O)C[C@]3C,*OC[C@]12[C@](*)C[C]3[C@@](*)[C@]1(OC3(C)C)[C@](C)C[C@](O)[C@]2*,1,0.0256016385048643,248.1412445,2.00634,3,2,18,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC(N)C(=O)O,*CC(N)C(=O)O,1,0.0256016385048643,89.047678464,-0.5817999999999999,2,2,6,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC(=O)c1ccc(O)cc1O,*c1cc(O)cc(O)c1C(C)=O,1,0.0256016385048643,152.047344116,1.3003999999999998,3,2,11,DiaNat-DB,DiaNat-DB = 1 (0.03%)
O=c1cc[nH]cc1O,*n1ccc(=O)c(O)c1,1,0.0256016385048643,111.0320284,0.0805,2,2,8,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC(N)C=O,*CC(N)C(*)=O,1,0.0256016385048643,73.052763844,-0.4675,2,1,5,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C=CC(=O)O,*C(=C)C(=O)O,1,0.0256016385048643,72.021129368,0.2569999999999999,1,1,5,DiaNat-DB,DiaNat-DB = 1 (0.03%)
O=C(O)CCc1ccc(O)c(O)c1,*C(Cc1ccc(O)c(O)c1)C(=O)O,1,0.0256016385048643,182.0579088,1.115,3,3,13,DiaNat-DB,DiaNat-DB = 1 (0.03%)
COc1c(O)cccc1O,*c1cc(O)c(OC)c(O)c1,1,0.0256016385048643,140.047344116,1.1063999999999996,3,2,10,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C=C(C=O)NC1CC1,*C(=O)C(=C)NC1CC1,1,0.0256016385048643,111.068413908,0.4509999999999999,2,1,8,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C1CC1,*C1CC1,1,0.0256016385048643,42.046950192,1.1703,0,0,3,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C=CC=O,*C(=C)C(*)=O,1,0.0256016385048643,56.026214748,0.3712999999999999,1,0,4,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C[C@]1O[CH][C@](O)[CH][C@@]1O,*C[C@]1O[C@@](*)[C@](O)[C@@](*)[C@@]1O*,1,0.0256016385048643,127.039519084,0.74355,3,2,9,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C[C@]1[CH][CH][C@](O)[CH]O1,*C[C@]1O[C@@](*)[C@](O)[C@@](*)[C@@]1*,1,0.0256016385048643,111.044604464,1.04335,2,1,8,DiaNat-DB,DiaNat-DB = 1 (0.03%)
COC1CCOC(C)C1O,*C1CC(OC)C(O)C(C)O1,1,0.0256016385048643,146.094294308,0.1710999999999998,3,1,10,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C[C@@]12[C]3O[C@]4(C)C[C@](O)(O3)[C]1C[C@@H]24,*C[C@@]12[C]3O[C@]4(C)C[C@](O)(O3)[C]1C[C@@]24*,1,0.0256016385048643,180.078644244,0.98798,3,1,13,DiaNat-DB,DiaNat-DB = 1 (0.03%)
O[C]1[CH][CH][CH]OC1,*[C@]1OC[C@](O)[C@@](*)[C@]1*,1,0.0256016385048643,98.036779432,0.49146,2,1,7,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC1CC(OC(=O)/C=C/c2ccccc2)CCO1,*C1OC(C)C(*)C(OC(=O)/C=C/c2ccccc2)C1*,1,0.0256016385048643,246.125594436,2.810500000000001,3,0,18,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC(=O)OC1CCOC(C)C1,*CC(=O)OC1C(*)C(*)OC(C)C1*,1,0.0256016385048643,158.094294308,1.117,3,0,11,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC(=O)OC1CCCOC1C,*C1OC(C)C(OC(C)=O)C(*)C1*,1,0.0256016385048643,158.094294308,1.117,3,0,11,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC(=O)OC1CCC(C)OC1,*C1OC(C)C(*)C(*)C1OC(C)=O,1,0.0256016385048643,158.094294308,1.117,3,0,11,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC1CC(O)CCO1,*OC1C(*)C(*)OC(C)C1*,1,0.0256016385048643,116.083729624,0.5462,2,1,8,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC1CCCCO1,*C1OC(C)C(*)C(*)C1*,1,0.0256016385048643,100.088815004,1.5754,1,0,7,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC[C](C)C(C)C,*C[C](CC)C(C)C,1,0.0256016385048643,99.11737548,2.646790000000001,0,0,7,DiaNat-DB,DiaNat-DB = 1 (0.03%)
Cc1cc(O)c(O)c(O)c1,*Cc1cc(O)c(O)c(O)c1,1,0.0256016385048643,140.047344116,1.1118199999999998,3,3,10,DiaNat-DB,DiaNat-DB = 1 (0.03%)
O=c1ccc2ccccc2o1,*c1ccc2ccc(=O)oc2c1,1,0.0256016385048643,146.036779432,1.793,2,0,11,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CS(=O)CC(N)C=O,*C(=O)C(N)CS(C)=O,1,0.0256016385048643,135.035399528,-1.108899999999999,3,1,8,DiaNat-DB,DiaNat-DB = 1 (0.03%)
OCC1OCCCC1O,*C1OC(CO)C(O)C(*)C1*,1,0.0256016385048643,132.078644244,-0.4814000000000002,3,2,9,DiaNat-DB,DiaNat-DB = 1 (0.03%)
OCC12OC1CC1C=COCC12,*C1OC=CC2C(*)C3OC3(CO)C12,1,0.0256016385048643,168.078644244,0.2963,3,1,12,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CCc1ccc(O)cc1,*CCc1ccc(O)cc1,1,0.0256016385048643,122.07316494,1.9546,1,1,9,DiaNat-DB,DiaNat-DB = 1 (0.03%)
C=CCS(=O)CC(N)C=O,*C(=O)C(N)CS(=O)CC=C,1,0.0256016385048643,161.051049592,-0.5527,3,1,10,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC1OCCC(O)C1O,*OC1C(C)OC(*)C(*)C1O*,1,0.0256016385048643,132.078644244,-0.483,3,2,9,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC1OCC(O)CC1O,*OC1C(*)OC(C)C(O*)C1*,1,0.0256016385048643,132.078644244,-0.483,3,2,9,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC1(C)O[C@]23[CH][C]1C[C@](O)[C@]2(C)[CH][C@](O)C[C@]3C,*C[C@]12[C@](O*)C[C]3[C@@](*)[C@]1(OC3(C)C)[C@](C)C[C@](O)[C@]2*,1,0.0256016385048643,248.1412445,2.734140000000001,3,2,18,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC1CC(O)C(O)CO1,*OC1C(*)OC(C)C(*)C1O*,1,0.0256016385048643,132.078644244,-0.4830000000000001,3,2,9,DiaNat-DB,DiaNat-DB = 1 (0.03%)
CC1CCC(O)CO1,*OC1C(*)OC(C)C(*)C1*,1,0.0256016385048643,116.083729624,0.5462,2,1,8,DiaNat-DB,DiaNat-DB = 1 (0.03%)
