ID,SMILES_chiral,SMILES_no_chiral,Target_1,pIC50_1,Target_category,Dataset,pEC50,Target_2,pIC50_2
CHEMBL3680631,O=C(OC(C)(C)C)N[C@]1CN(c2n(CC#CC)c3C(=O)N(Cc4nc5c(c(C#N)c4)cccc5)C(=O)N(C)c3n2)CCC1,O=C(OC(C)(C)C)NC1CN(c2n(CC#CC)c3C(=O)N(Cc4nc5c(c(C#N)c4)cccc5)C(=O)N(C)c3n2)CCC1,Dipeptidyl Peptidase IV (DPP-IV),8.6989698,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3680632,O=C(OC(C)(C)C)N[C@]1CN(c2n(CC#CC)c3C(=O)N(CC(=O)c4cc(OC5CC5)ccc4)C(=O)N(C)c3n2)CCC1,O=C(OC(C)(C)C)NC1CN(c2n(CC#CC)c3C(=O)N(CC(=O)c4cc(OC5CC5)ccc4)C(=O)N(C)c3n2)CCC1,Dipeptidyl Peptidase IV (DPP-IV),8.3010302,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3680633,O=C(OC(C)(C)C)N[C@]1CN(c2n(CC#CC)c3C(=O)N(Cc4cc5nc(C)c(C)nc5cc4)C(=O)N(C)c3n2)CCC1,O=C(OC(C)(C)C)NC1CN(c2n(CC#CC)c3C(=O)N(Cc4cc5nc(C)c(C)nc5cc4)C(=O)N(C)c3n2)CCC1,Dipeptidyl Peptidase IV (DPP-IV),8.6989698,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3680634,Brc1c(C(=O)CN2C(=O)N(C)c3nc(n(CC#CC)c3C2=O)N2C[C@](NC(=O)OC(C)(C)C)CCC2)cccc1,Brc1c(C(=O)CN2C(=O)N(C)c3nc(n(CC#CC)c3C2=O)N2CC(NC(=O)OC(C)(C)C)CCC2)cccc1,Dipeptidyl Peptidase IV (DPP-IV),8.6989698,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3680635,O=C(OC(C)(C)C)N[C@]1CN(c2n(CC#CC)c3C(=O)N(Cc4c(C#N)c(C)c5c(n4)cccc5)C(=O)N(C)c3n2)CCC1,O=C(OC(C)(C)C)NC1CN(c2n(CC#CC)c3C(=O)N(Cc4c(C#N)c(C)c5c(n4)cccc5)C(=O)N(C)c3n2)CCC1,Dipeptidyl Peptidase IV (DPP-IV),8.6989698,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3680636,O=C(OC(C)(C)C)N[C@]1CN(c2n(CC#CC)c3C(=O)N(Cc4nc(-c5ccccc5)ccn4)C(=O)N(C)c3n2)CCC1,O=C(OC(C)(C)C)NC1CN(c2n(CC#CC)c3C(=O)N(Cc4nc(-c5ccccc5)ccn4)C(=O)N(C)c3n2)CCC1,Dipeptidyl Peptidase IV (DPP-IV),8.6989698,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3680637,O=[N+]([O-])c1c(C(=O)CN2C(=O)N(C)c3nc(n(CC#CC)c3C2=O)N2C[C@](NC(=O)OC(C)(C)C)CCC2)cccc1,O=[N+]([O-])c1c(C(=O)CN2C(=O)N(C)c3nc(n(CC#CC)c3C2=O)N2CC(NC(=O)OC(C)(C)C)CCC2)cccc1,Dipeptidyl Peptidase IV (DPP-IV),8.5228786,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3694421,S(=O)(=O)(C)n1nc2c(c1)CN([C@@]1C[C@](N)C(c3c(F)ccc(F)c3)NC1)C2,S(=O)(=O)(C)n1nc2c(c1)CN(C1CC(N)C(c3c(F)ccc(F)c3)NC1)C2,Dipeptidyl Peptidase IV (DPP-IV),8.167491,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3694422,S(=O)(=O)(n1nc2c(c1)CN([C@@]1C[C@](N)C(c3c(F)cc(F)c(F)c3)NC1)C2)C1CC1,S(=O)(=O)(n1nc2c(c1)CN(C1CC(N)C(c3c(F)cc(F)c(F)c3)NC1)C2)C1CC1,Dipeptidyl Peptidase IV (DPP-IV),9.1549015,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3694423,S(=O)(=O)(C)n1nc2c(c1)CN([C@]1CN(CC(=O)N)C(c3c(F)ccc(F)c3)[C@@](N)C1)C2,S(=O)(=O)(C)n1nc2c(c1)CN(C1CN(CC(=O)N)C(c3c(F)ccc(F)c3)C(N)C1)C2,Dipeptidyl Peptidase IV (DPP-IV),8.3665314,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
