fragments_h,fragments,count,frequency,MW,CLogP,HBA,HBD,heavy
O=C/C=C/c1ccc(O)cc1,*C(=O)/C=C/c1ccc(O)cc1,3,0.07680491551459294,148.052429496,1.6042999999999998,2,1,11
OC[C@]1O[C@@](Oc2ccccc2O)[C@](O)[C@@](O)[C@]1O,*OC[C@]1O[C@@](Oc2ccccc2O)[C@](O)[C@@](O)[C@]1O,3,0.07680491551459294,267.050477692,0.5284499999999998,7,5,19
Oc1ccccc1,*c1ccccc1O,3,0.07680491551459294,94.041864812,1.3921999999999999,1,1,7
C[C@]1O[C@@](Oc2ccccc2O)[C@](O)[C@@](O)[C@]1O,*C[C@]1O[C@@](Oc2ccccc2O)[C@](O)[C@@](O)[C@]1O,3,0.07680491551459294,251.055563072,1.5560500000000004,6,4,18
O=C(O)c1cc(O)c(O)c(O)c1,*c1c(C(=O)O)cc(O)c(O)c1O,3,0.07680491551459294,170.021523292,0.5015999999999998,4,4,12
COc1ccc(C)cc1O,*Cc1ccc(OC)c(O)c1,3,0.07680491551459294,138.06807956,1.70922,2,1,10
Cc1ccccc1,*Cc1ccc(*)cc1,3,0.07680491551459294,92.062600256,1.99502,0,0,7
CC(=O)CC(C)=O,*CC(=O)CC(=O)C*,3,0.07680491551459294,100.052429496,0.5545,2,0,7
CC(=O)c1c(O)cc(O)cc1O,*CC(=O)c1c(O)cc(O)cc1O,3,0.07680491551459294,168.042258736,1.006,4,3,12
COc1cc(/C=C/C=O)ccc1O,*C(=O)/C=C/c1ccc(O)c(OC)c1,3,0.07680491551459294,178.06299418,1.6129,3,1,13
COc1cc(/C=C/C(=O)CO)ccc1O,*OCC(=O)/C=C/c1ccc(O)c(OC)c1,3,0.07680491551459294,208.073558864,0.9754,4,2,15
CC(=O)CO,*CC(=O)CO*,3,0.07680491551459294,74.036779432,-0.43229999999999996,2,1,5
COc1cc(/C=C/C(C)=O)ccc1O,*CC(=O)/C=C/c1ccc(O)c(OC)c1,3,0.07680491551459294,192.078644244,2.0029999999999997,3,1,14
CC(C)=O,*CC(=O)C*,3,0.07680491551459294,58.041864812,0.5952999999999999,1,0,4
O=C[C@]1O[CH][C@@](O)[C@](O)[C@@]1O,*C(=O)[C@]1O[C@@](*)[C@@](O)[C@](O)[C@@]1O,3,0.07680491551459294,157.01369826,-0.3772500000000001,5,3,11
CC(C)CC(N)C(=O)O,*NC(CC(C)C)C(=O)O,3,0.07680491551459294,131.094628656,0.44439999999999996,2,2,9
NC(=O)CCC(N)C(=O)N1CCCC1C=O,*C(=O)C1CCCN1C(=O)C(N)CCC(N)=O,3,0.07680491551459294,227.126991404,-1.2308999999999999,4,2,16
N=C(N)NCCCC(N)C=O,*NC(CCCNC(=N)N)C(*)=O,3,0.07680491551459294,158.116761068,-1.2241299999999995,3,4,11
COc1ccc(-c2cc(=O)c3c(O)cccc3o2)cc1O,*c1cc(O)c2c(=O)cc(-c3ccc(OC)c(O)c3)oc2c1,3,0.07680491551459294,284.068473484,2.879800000000001,5,2,21
NC(=O)CCC(C=O)NC(=O)C1CCCN1,*C(=O)C(CCC(N)=O)NC(=O)C1CCCN1*,3,0.07680491551459294,227.126991404,-1.3123999999999993,4,3,16
O=c1cc(-c2ccc(O)cc2)oc2cccc(O)c12,*c1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1,3,0.07680491551459294,254.0579088,2.8712000000000013,4,2,19
NC(=O)CCC(NC(=O)C1CCCN1)C(=O)O,*N1CCCC1C(=O)NC(CCC(N)=O)C(=O)O,3,0.07680491551459294,243.121906024,-1.4266999999999987,4,4,17
O=c1cc(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,*c1c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c2c1=O,3,0.07680491551459294,302.04265266,1.988,7,5,22
NC(=O)CCC(N)C=O,*NC(CCC(N)=O)C(*)=O,3,0.07680491551459294,130.07422756,-1.2219000000000004,3,2,9
NC(=O)CCC(N)C(=O)O,*NC(CCC(N)=O)C(=O)O,3,0.07680491551459294,146.06914218,-1.3361999999999998,3,3,10
NC(=O)CCC(N)C=O,*C(=O)C(N)CCC(N)=O,3,0.07680491551459294,130.07422756,-1.2219000000000004,3,2,9
OCC1OCC(O)C(O)C1O,*C1OC(CO)C(O)C(O)C1O,2,0.051203277009728626,164.068473484,-2.539799999999999,5,4,11
Oc1cc(O)c2c(c1)O[C@](c1cc(O)c(O)c(O)c1)[C@@](O)C2,*O[C@]1Cc2c(O)cc(O)cc2O[C@@]1c1cc(O)c(O)c(O)c1,2,0.051203277009728626,304.058302724,1.6342800000000002,7,6,22
O=C(O[C@]1O[C]2COC(=O)c3ccc(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C]2[C@](O)[C@@]1O)c1cc(O)c(O)c(O)c1,*O[C@]1[C]2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(*)c(O)c3O)C(=O)OC[C]2O[C@](OC(=O)c2cc(O)c(O)c(O)c2)[C@@]1O*,2,0.051203277009728626,613.0465740839999,1.5752500000000007,17,10,44
Cc1cc(OC(=O)c2c(C)cccc2O)cc(O)c1C(=O)NC(C)C=O,*C(=O)C(C)NC(=O)c1c(C)cc(OC(=O)c2c(C)cc(*)cc2O)cc1O,2,0.051203277009728626,357.121237328,2.2510400000000006,6,3,26
O=Cc1cc(O)c(O)c(O)c1Oc1cc2c(c(O)c1O)-c1c(cc(O)c(O)c1O)C(=O)O[C]1[C](COC2=O)O[C@](OC(=O)c2cc(O)c(O)c(O)c2)[C@@](O)[C@]1O,*O[C@]1[C]2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(Oc4c(C(*)=O)cc(O)c(O)c4O)c(O)c3O)C(=O)OC[C]2O[C@](OC(=O)c2cc(O)c(O)c(O)c2)[C@@]1O*,2,0.051203277009728626,781.052447312,2.2968500000000027,22,13,56
Cc1cc(OC(=O)c2c(C)cccc2O)cc(O)c1C(=O)NC(C)C(=O)O,*c1cc(C)c(C(=O)Oc2cc(C)c(C(=O)NC(C)C(=O)O)c(O)c2)c(O)c1,2,0.051203277009728626,373.116151948,2.1367399999999996,6,4,27
COc1cc(C)c(C(=O)Oc2cc(C)c(C(=O)Oc3cc(C)c(C=O)c(O)c3)c(O)c2)c(O)c1,*C(=O)c1c(C)cc(OC(=O)c2c(C)cc(OC(=O)c3c(C)cc(OC)cc3O)cc2O)cc1O,2,0.051203277009728626,466.12638228399993,3.988160000000004,9,3,34
COc1cc(C)c(C(=O)Oc2cc(C)c(C=O)c(O)c2)c(O)c1,*C(=O)c1c(C)cc(OC(=O)c2c(C)cc(OC)cc2O)cc1O,2,0.051203277009728626,316.094688232,2.7549400000000013,6,2,23
COc1cc(C)c(C=O)c(O)c1,*C(=O)c1c(C)cc(OC)cc1O,2,0.051203277009728626,166.06299418,1.52172,3,1,12
Oc1cc(O)c2c(c1)O[C](c1cc(O)c(O)c(O)c1)[CH]C2,*[C@]1Cc2c(O)cc(O)cc2O[C@@]1c1cc(O)c(O)c(O)c1,2,0.051203277009728626,288.063388104,1.9340800000000002,6,5,21
C=C1C[C@@]23CC[C]4[C@@](C)(CCC[C@@]4(C)C=O)[C]2CC[C@@H]1C3,*C(=O)[C@]1(C)CCC[C@@]2(C)[C]3CC[C@]4(*)C[C@@]3(CC[C]21)CC4=C,2,0.051203277009728626,284.214015516,5.070980000000005,1,0,21
COc1cc(C)c(C(=O)Oc2cc(C)c(C(=O)Oc3cc(C)c(C=O)c(O)c3)c(O)c2)c(OC)c1,*C(=O)c1c(C)cc(OC(=O)c2c(C)cc(OC(=O)c3c(C)cc(OC)cc3OC)cc2O)cc1O,2,0.051203277009728626,480.14203234799993,4.291160000000004,9,2,35
OC[C@]1O[CH][CH][C@](O)[C@@]1O,*[C@]1O[C@@](CO)[C@](O)[C@@](O)[C@]1*,2,0.051203277009728626,143.034433704,-0.28405000000000025,4,3,10
